id,inicio_paletizado,fin_paletizado,carga_EXPO_lista_rampa,inicio_despaletizado,fin_despaletizado,hora_asegurado,compartimientos_abiertos,inicio_descarga,fin_descarga,inicio_cargado,fin_cargado,compartimientos_cerrados,puerta_cerrada,hora_retro_empuje,hora_despegue,hora_aterrizaje,fin_limpieza_cabina,cierre_vuelo_mostrador,primer_equipaje_faja,ultimo_equipaje_faja,inicio_limpieza_cabina
3296,,,,,,16:38:00,16:44:00,16:46:00,16:52:00,17:04:00,17:27:00,17:30:00,17:30:00,17:37:00,17:49:00,16:33:00,17:03:00,16:45:00,16:53:00,17:03:00,16:58:00
3297,,,,,,18:31:00,18:34:00,18:39:00,18:51:00,18:55:00,19:05:00,19:06:00,19:11:00,19:22:00,19:40:00,18:24:00,18:50:00,19:50:00,18:46:00,19:00:00,18:45:00
3328,,,,,,21:02:00,21:03:00,21:04:00,21:18:00,,,,,,,20:53:00,22:07:00,,21:14:00,21:21:00,21:24:00
3330,,,,,,22:56:00,23:00:00,23:01:00,23:10:00,,,23:12:00,,,,22:53:00,00:08:00,,23:08:00,23:23:00,23:21:00
3332,,,,,,20:58:00,20:59:00,21:00:00,21:15:00,,,21:16:00,,,,20:55:00,22:09:00,,21:10:00,21:18:00,21:20:00
3334,,,,,,20:49:00,20:50:00,20:51:00,,,,21:07:00,,,,20:37:00,21:45:00,,20:59:00,21:08:00,21:08:00
3383,,,,,,,04:30:00,,,04:35:00,05:18:00,05:32:00,05:30:00,05:38:00,05:50:00,,,04:40:00,,,
3384,,,,,,,04:35:00,,,04:40:00,05:20:00,05:34:00,05:34:00,05:35:00,05:47:00,,,04:45:00,,,
3385,,,,,,,04:30:00,,,04:35:00,05:26:00,05:30:00,05:30:00,05:31:00,05:44:00,,,04:50:00,,,
3386,,,,,,,04:35:00,,,04:37:00,05:15:00,05:29:00,05:30:00,05:33:00,05:46:00,,,04:50:00,,,
3387,,,,,,,04:35:00,,,04:40:00,05:12:00,05:28:00,05:28:00,05:31:00,05:40:00,,,04:45:00,,,
3388,,,,,,,04:30:00,,,04:35:00,05:10:00,05:18:00,05:20:00,05:23:00,05:45:00,,,04:40:00,,,
3389,,,,,,,04:30:00,,,04:35:00,05:21:00,05:26:00,05:28:00,05:34:00,05:49:00,,,04:50:00,,,
3390,,,,,,,04:35:00,,,04:38:00,05:10:00,05:15:00,05:35:00,05:36:00,05:50:00,,,04:43:00,,,
3391,,,,,,,04:35:00,,,04:38:00,05:10:00,05:34:00,05:40:00,05:41:00,05:54:00,,,04:30:00,,,
3392,,,,,,,04:25:00,,,04:50:00,05:25:00,05:27:00,05:30:00,05:35:00,05:52:00,,,04:40:00,,,
3393,,,,,,,04:35:00,,,04:38:00,05:18:00,05:22:00,05:30:00,05:36:00,05:50:00,,,04:54:00,,,
3394,,,,,,,04:35:00,,,04:38:00,05:27:00,05:34:00,05:33:00,05:35:00,05:51:00,,,04:48:00,,,
3395,,,,,,,04:32:00,,,04:38:00,05:10:00,05:20:00,05:25:00,05:35:00,05:50:00,,,04:35:00,,,
3396,,,,,,,04:30:00,,,04:35:00,05:10:00,05:28:00,05:30:00,05:33:00,05:45:00,,,,,,
3397,,,,,,,04:40:00,,,04:42:00,05:12:00,05:31:00,05:32:00,05:35:00,05:49:00,,,04:45:00,,,
3398,,,,,,,04:30:00,,,04:32:00,05:17:00,05:25:00,05:28:00,05:35:00,05:49:00,,,04:55:00,,,
3399,,,,,,,04:33:00,,,04:35:00,05:28:00,05:30:00,05:33:00,05:36:00,05:53:00,,,04:37:00,,,
3400,,,,,,,04:30:00,,,04:40:00,05:14:00,05:35:00,05:34:00,06:28:00,06:42:00,,,05:00:00,,,
3442,,,,,,,05:30:00,,,05:33:00,06:08:00,06:28:00,06:30:00,06:37:00,06:52:00,,,,,,
3444,,,,,,,05:25:00,,,05:31:00,06:20:00,06:28:00,06:29:00,06:30:00,06:45:00,,,,,,
