no_correlativo,fase_1,fase_2,fase_3,fase_4,fase_5,fase_6,fase_7,fase_8,fase_9,fase_10,iniciada
10626,True,True,True,True,True,True,True,True,True,True,True
10631,True,True,True,True,True,True,True,True,True,True,True
10632,True,True,True,True,True,True,True,True,True,True,True
10665,True,True,True,True,True,True,True,True,True,True,True
10671,True,True,True,True,True,True,True,True,True,True,True
10684,True,True,True,True,True,True,True,True,True,True,True
10687,True,True,True,True,True,True,True,True,True,True,True
10688,True,True,True,True,True,True,True,True,True,True,True
10695,True,True,True,True,True,True,True,True,True,True,True
10736,True,True,True,True,True,True,True,True,True,True,True
10737,True,True,True,True,True,True,True,True,True,True,True
10738,True,True,True,True,True,True,True,True,True,True,True
10739,True,True,True,True,True,True,True,True,True,True,True
10741,True,True,True,True,True,True,True,True,True,True,True
10742,True,True,True,True,True,True,True,True,True,True,True
10744,True,True,True,True,True,True,True,True,True,True,True
10761,True,True,True,True,True,True,True,True,True,True,True
10762,True,True,True,True,True,True,True,True,True,True,True
10764,True,True,True,False,True,True,True,True,True,True,True
10766,True,True,True,True,True,True,True,True,True,True,True
10769,True,True,True,True,True,True,True,True,True,True,True
10770,True,True,True,True,True,True,True,True,True,True,True
10774,True,True,True,True,True,True,True,True,True,True,True
10780,True,True,True,True,True,True,True,True,True,True,True
10805,True,True,True,True,True,True,True,True,True,True,True
10824,True,True,True,True,True,True,True,True,True,True,True
10825,True,True,True,True,True,True,True,True,True,True,True
10826,True,True,True,True,True,True,True,True,True,True,True
10831,True,True,True,True,True,True,True,True,True,True,True
10832,True,True,True,True,True,True,True,True,True,True,True
10834,True,True,True,True,True,True,True,True,True,True,True
10835,True,True,True,True,True,True,True,True,True,True,True
10838,True,True,True,True,True,True,True,True,False,True,True
10842,True,False,True,True,True,True,True,True,True,True,True
10845,True,True,True,True,True,True,True,True,True,True,True
10846,True,True,True,True,True,True,True,True,True,True,True
10855,True,True,True,True,True,True,True,True,True,True,True
10856,True,True,True,True,True,True,True,True,True,True,True
10862,True,True,True,True,True,True,True,True,True,True,True
10871,True,True,True,True,True,True,True,True,True,True,True
10887,True,True,True,True,True,True,True,True,True,True,True
10892,True,True,True,True,True,True,True,True,True,True,True
10893,False,False,False,False,False,False,False,False,False,False,True
10894,False,False,False,False,False,False,False,False,False,False,True
